rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,date,year,month,clean_text,input_text,prob_neg,prob_neu,prob_pos,sentiment_score,sentiment_label,is_silent_killer
4.0,Four Stars,Pretty cool!!!<br /><br />Thanks Amazon.,[],B00ZV9RDKK,B075X8471B,AEM663T6XHZFWLODF4US2RCOCUSA,1509491262120,0,True,2017-10-31 23:07:42.120,2017,2017-10,Pretty cool!!! Thanks Amazon.,Pretty cool!!! Thanks Amazon.,0.0038107408,0.009244601,0.9869446,0.98313385,positive,False
5.0,Five Stars,We love it,[],B00ZV9RDKK,B075X8471B,AEJDETWITK2KGACH7FUBMY33PPSQ,1519939757127,0,True,2018-03-01 21:29:17.127,2018,2018-03,We love it,We love it,0.0063280454,0.041660182,0.95201176,0.9456837,positive,False
5.0,AWESOME and simple to set up,"i have hemmed and hawed for quite a while  about  a Fire Stick or a Roku ......do i, dont i, do i dont i ........i barely watch TV and my TV in the room where i spend most of my time in has only one HDMI port .. so i finally got it on prime day for only 20 bucks and put it on my bedroom TV .. the thing is when im watching TV i fall asleep !!!  but it was SIMPLE to set up and  i only downloaded a few apps so far  like Netflix, Youtube and FB  HAHA  .. i already pay enough for cable  so now i gotta figure out is it worth it to dump cable and get hulu or sling i dont want to lose the channels i have now though  I have to investigate as to what hulu and sling actually offer as far as channels go  and of course the reg channels  cuz then if that's the case i'd buy another Fire Stick for my other 2 TVS and toss the cable bill !",[],B00ZV9RDKK,B075X8471B,AHGAOIZVODNHYMNCBV4DECZH42UQ,1532476996921,0,True,2018-07-25 00:03:16.921,2018,2018-07,"i have hemmed and hawed for quite a while about a Fire Stick or a Roku ......do i, dont i, do i dont i ........i barely watch TV and my TV in the room where i spend most of my time in has only one HDMI port .. so i finally got it on prime day for only 20 bucks and put it on my bedroom TV .. the thing is when im watching TV i fall asleep !!! but it was SIMPLE to set up and i only downloaded a few apps so far like Netflix, Youtube and FB HAHA .. i already pay enough for cable so now i gotta figure out is it worth it to dump cable and get hulu or sling i dont want to lose the channels i have now though I have to investigate as to what hulu and sling actually offer as far as channels go and of course the reg channels cuz then if that's the case i'd buy another Fire Stick for my other 2 TVS and toss the cable bill !","i have hemmed and hawed for quite a while about a Fire Stick or a Roku ......do i, dont i, do i dont i ........i barely watch TV and my TV in the room where i spend most of my time in has only one HDMI port .. so i finally got it on prime day for only 20 bucks and put it on my bedroom TV .. the thing is when im watching TV i fall asleep !!! but it was SIMPLE to set up and i only downloaded a few apps so far like Netflix, Youtube and FB",0.18702301,0.6486918,0.16428518,-0.02273783,neutral,True
4.0,Fire Stick Works great but can interfere with TV antenna if you're using one,"Oct 2017 Review Update:  Amazon has done a great job updating the Fire Stick software, and all of my complaints from my initial review have been fixed.  The Menus and Voice Interface are intuitive, easy to use, and do what you'd expect.",[],B00ZV9RDKK,B075X8471B,AEDHXXX2F66EMWOSSPCQHS62UKNQ,1482384682000,1,True,2016-12-22 05:31:22.000,2016,2016-12,"Oct 2017 Review Update: Amazon has done a great job updating the Fire Stick software, and all of my complaints from my initial review have been fixed. The Menus and Voice Interface are intuitive, easy to use, and do what you'd expect.","Oct 2017 Review Update: Amazon has done a great job updating the Fire Stick software, and all of my complaints from my initial review have been fixed. The Menus and Voice Interface are intuitive, easy to use, and do what you'd expect.",0.0074035455,0.04004836,0.9525481,0.94514453,positive,False
5.0,Would absolutely buy again for another tv,"Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use.",[],B00ZV9RDKK,B075X8471B,AH2CJIKJPIIRDG264ZWX2UUQN5SQ,1522244290750,0,True,2018-03-28 13:38:10.750,2018,2018-03,"Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use.","Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use.",0.00811982,0.024695339,0.96718484,0.959065,positive,False
5.0,Easy to setup,I love this product!,[],B00ZV9RDKK,B075X8471B,AGJY4LG74YJEJBVWIPIMIZ464ELA,1537322362789,0,True,2018-09-19 01:59:22.789,2018,2018-09,I love this product!,I love this product!,0.0046563386,0.010539179,0.9848045,0.9801482,positive,False
2.0,Sporadic and unreliable.,Works when it feels like it.,[],B00ZV9RDKK,B075X8471B,AFPBTK4XMHY7YEPVLM7LWU4WL4WQ,1580452123296,0,True,2020-01-31 06:28:43.296,2020,2020-01,Works when it feels like it.,Works when it feels like it.,0.01635818,0.319878,0.6637639,0.6474057,positive,False
5.0,best investment in years,"since I'm already a prime member, and I'm willing to pay a little fee every month for Netflix as well, we're hardly watching any network television but also aren't paying ridiculous fees for 101 channels we never watch.  more than enough good and intelligent and fun content to keep me well occupied on those long winter evenings.",[],B00ZV9RDKK,B075X8471B,AGDCD2ZNYMDZAVQKQ3RZ56LJTRVQ,1547331673894,0,True,2019-01-12 22:21:13.894,2019,2019-01,"since I'm already a prime member, and I'm willing to pay a little fee every month for Netflix as well, we're hardly watching any network television but also aren't paying ridiculous fees for 101 channels we never watch. more than enough good and intelligent and fun content to keep me well occupied on those long winter evenings.","since I'm already a prime member, and I'm willing to pay a little fee every month for Netflix as well, we're hardly watching any network television but also aren't paying ridiculous fees for 101 channels we never watch. more than enough good and intelligent and fun content to keep me well occupied on those long winter evenings.",0.021294165,0.179885,0.79882085,0.7775267,positive,False
2.0,"Alexa - ""I can't do that from Fire TV"" Garbage Product","Maybe it's just me as an older guy, but I really wasn't expecting this. Unlike ANY remote I've ever used. NO control over TV volume, mute, 'back', numbers for channel, etc. Nope, this thing (streaming) is NOT intuitive to use, freezes, pixelates, is slow to change channels, and is a pain to use. &#34;Alexa&#34; has more of &#34;I cannot do that for_____ reason&#34; than it has use. Alexa listens to me about as well as an old deaf dog! Useless 80% of the time. If I'd have known all this I would have probably gone with an antenna and free, over-the-air TV viewing. I hate this thing and &#34;help&#34; is a matter of luck with no humans involved. I have to have my 16 y.o. grandson help with some things. Get ready to carry a bunch of remotes and such (Fire control, TV remote and cordless phone if you carry that around). I really, really don't like this POS!",[],B00ZV9RDKK,B075X8471B,AHU2Y2ZFQKI3V3ARFDKZA6ER4NUQ,1532876804570,0,True,2018-07-29 15:06:44.570,2018,2018-07,"Maybe it's just me as an older guy, but I really wasn't expecting this. Unlike ANY remote I've ever used. NO control over TV volume, mute, 'back', numbers for channel, etc. Nope, this thing (streaming) is NOT intuitive to use, freezes, pixelates, is slow to change channels, and is a pain to use. &#34;Alexa&#34; has more of &#34;I cannot do that for_____ reason&#34; than it has use. Alexa listens to me about as well as an old deaf dog! Useless 80% of the time. If I'd have known all this I would have probably gone with an antenna and free, over-the-air TV viewing. I hate this thing and &#34;help&#34; is a matter of luck with no humans involved. I have to have my 16 y.o. grandson help with some things. Get ready to carry a bunch of remotes and such (Fire control, TV remote and cordless phone if you carry that around). I really, really don't like this POS!","Maybe it's just me as an older guy, but I really wasn't expecting this. Unlike ANY remote I've ever used. NO control over TV volume, mute, 'back', numbers for channel, etc. Nope, this thing (streaming) is NOT intuitive to use, freezes, pixelates, is slow to change channels, and is a pain to use. &#34;Alexa&#34; has more of &#34;I cannot do that for_____ reason&#34; than it has use. Alexa listens to me about as well as an old deaf dog! Useless 80% of the time. If I'd have known all this I would have probably gone with an antenna and free,",0.89255154,0.09506058,0.01238791,-0.8801636,negative,False
5.0,Love my Stick,Easy to install and download apps.,[],B00ZV9RDKK,B075X8471B,AERD2GHAB5VZHTHUVMVAYUHL4CYA,1494716560000,0,True,2017-05-13 23:02:40.000,2017,2017-05,Easy to install and download apps.,Easy to install and download apps.,0.0087210005,0.1862221,0.80505687,0.7963359,positive,False
5.0,Everyone needs this!!!!,"More than happy with this! Has saved me so much money and have no further need for high, and continuously raising cable or satellite bills!! I went from having to either hook my computer up to my tv to watch my Amazon or Netflix account to having both right where I need them without needing to buy an expensive new &#34;Smart TV&#34; as this makes any TV smart!!!",[],B00ZV9RDKK,B075X8471B,AFOASAW4HQGTIGDN6LSM4EDEN3XQ,1486064359000,0,True,2017-02-02 19:39:19.000,2017,2017-02,"More than happy with this! Has saved me so much money and have no further need for high, and continuously raising cable or satellite bills!! I went from having to either hook my computer up to my tv to watch my Amazon or Netflix account to having both right where I need them without needing to buy an expensive new &#34;Smart TV&#34; as this makes any TV smart!!!","More than happy with this! Has saved me so much money and have no further need for high, and continuously raising cable or satellite bills!! I went from having to either hook my computer up to my tv to watch my Amazon or Netflix account to having both right where I need them without needing to buy an expensive new &#34;Smart TV&#34; as this makes any TV smart!!!",0.01437408,0.052755114,0.93287086,0.9184968,positive,False
